"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Philadelphia Flyers","16","1010.0667","10","6","912","1000","47.70","645","740","46.57","433","490","46.91","38","40","48.72","38.42","47.9","44.51","420","488","46.26","152","204","42.70","19","20","48.72","18.81","85.19","8.78","91.84","1.006"
"2","Boston Bruins","13","840.05","5","8","865","794","52.14","616","567","52.07","424","385","52.41","29","39","42.65","36.07","32.51","52.60","402","363","52.55","143","131","52.19","20","18","52.63","20.00","80.65","6.84","89.87","0.967"
"3","Washington Capitals","8","504.4667","2","6","440","422","51.04","309","308","50.08","201","219","47.86","14","25","35.90","18.42","21.24","46.44","194","203","48.87","62","90","40.79","9","16","36.00","20.45","77.14","6.97","88.58","0.955"
"4","Tampa Bay Lightning","25","1736.2333","18","7","1776","1489","54.40","1226","1032","54.30","882","745","54.21","79","58","57.66","77.68","70.15","52.55","772","705","52.27","316","280","53.02","50","41","54.95","21.83","79.40","8.96","92.21","1.012"
"5","St Louis Blues","8","501.0167","2","6","504","458","52.39","358","336","51.59","278","242","53.46","21","30","41.18","22.46","23.21","49.18","228","211","51.94","93","84","52.54","11","17","39.29","17.46","71.19","7.55","87.60","0.952"
"6","Colorado Avalanche","15","912.1333","9","6","1002","765","56.71","714","547","56.62","547","414","56.92","60","41","59.41","52.79","39.21","57.38","476","364","56.67","205","163","55.71","36","26","58.06","22.09","79.20","10.97","90.10","1.011"
"7","Dallas Stars","26","1623.55","14","12","1446","1657","46.60","1028","1181","46.54","765","877","46.59","76","81","48.41","74.13","82.63","47.29","713","719","49.79","318","320","49.84","48","39","55.17","20.87","83.95","9.93","90.76","1.007"
"8","Vegas Golden Knights","20","1216.0667","12","8","1394","977","58.79","988","647","60.43","723","489","59.65","57","44","56.44","71.01","46.88","60.24","651","479","57.61","280","196","58.82","30","31","49.18","14.78","78.77","7.88","91.00","0.989"
"9","Montreal Canadiens","10","613.95","5","5","603","594","50.38","434","438","49.77","293","283","50.87","23","19","54.76","24.97","27.64","47.46","259","286","47.52","107","104","50.71","12","9","57.14","16.90","86.57","7.85","93.29","1.011"
"10","Pittsburgh Penguins","4","253.95","1","3","271","224","54.75","198","161","55.15","134","115","53.82","8","10","44.44","14.52","9.42","60.66","135","95","58.70","53","38","58.24","5","6","45.45","12.82","80.65","5.97","91.30","0.973"
"11","New York Rangers","3","180","0","3","160","187","46.11","123","143","46.24","88","102","46.32","4","11","26.67","6.77","8.96","43.03","76","83","47.80","24","37","39.34","3","5","37.50","23.08","79.17","4.55","89.22","0.938"
"12","Carolina Hurricanes","8","501.2167","4","4","471","496","48.71","341","366","48.23","229","262","46.64","22","19","53.66","19.7","22.27","46.94","216","237","47.68","82","86","48.81","8","13","38.10","15.69","74.51","9.61","92.75","1.024"
"13","Florida Panthers","4","240","1","3","224","226","49.78","152","172","46.91","103","122","45.78","7","13","35.00","10.04","10.66","48.50","125","112","52.74","42","43","49.41","2","5","28.57","7.69","82.14","6.80","89.34","0.961"
"14","New York Islanders","22","1420.3333","13","9","1285","1393","47.98","931","937","49.84","660","644","50.61","66","51","56.41","66.22","58.67","53.02","660","651","50.34","287","245","53.95","32","30","51.61","16.00","81.60","10.00","92.08","1.021"
"15","Columbus Blue Jackets","10","727.2167","4","6","635","782","44.81","467","554","45.74","331","395","45.59","24","24","50.00","28.29","32.03","46.90","288","358","44.58","95","133","41.67","12","12","50.00","17.91","87.76","7.25","93.92","1.012"
"16","Toronto Maple Leafs","5","331.5667","2","3","351","318","52.47","261","233","52.83","189","159","54.31","10","12","45.45","14.48","14.04","50.77","178","149","54.43","61","46","57.01","4","3","57.14","9.09","90.00","5.29","92.45","0.977"
"17","Chicago Blackhawks","9","547.2167","4","5","481","595","44.70","330","432","43.31","245","324","43.06","27","30","47.37","22.04","32.35","40.52","231","299","43.58","85","139","37.95","17","19","47.22","25.00","81.55","11.02","90.74","1.018"
"18","Edmonton Oilers","4","240","1","3","237","223","51.52","174","162","51.79","137","122","52.90","15","16","48.39","14.49","10.67","57.60","132","113","53.88","71","41","63.39","10","9","52.63","17.86","72.73","10.95","86.89","0.978"
"19","Arizona Coyotes","9","545.45","4","5","460","619","42.63","306","451","40.42","234","348","40.21","22","33","40.00","18.96","27.12","41.14","204","279","42.24","83","110","43.01","11","20","35.48","19.64","75.31","9.40","90.52","0.999"
"20","Nashville Predators","4","245.45","1","3","283","233","54.84","211","155","57.65","163","125","56.60","11","14","44.00","11.51","9.05","55.99","121","104","53.78","50","42","54.35","5","7","41.67","15.15","75.86","6.75","88.80","0.955"
"21","Minnesota Wild","4","240.1833","1","3","235","217","51.99","175","162","51.93","122","116","51.26","10","12","45.45","10.72","9.69","52.52","108","89","54.82","40","42","48.78","2","6","25.00","6.67","79.31","8.20","89.66","0.979"
"22","Vancouver Canucks","17","1041.2","10","7","892","1204","42.56","631","843","42.81","451","624","41.95","48","45","51.61","42.45","57.94","42.28","409","568","41.86","168","227","42.53","28","20","58.33","23.73","87.95","10.64","92.79","1.034"
"23","Winnipeg Jets","4","240","1","3","216","213","50.35","158","162","49.38","110","129","46.03","6","16","27.27","8.09","13.03","38.29","95","102","48.22","31","32","49.21","5","7","41.67","29.41","68.18","5.45","87.60","0.931"
"24","Calgary Flames","10","616.0833","5","5","561","618","47.58","413","460","47.31","314","325","49.14","33","27","55.00","28.49","25.45","52.82","240","276","46.51","85","100","45.95","15","15","50.00","23.08","75.81","10.51","91.69","1.022"
