"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Columbus Blue Jackets","10","628.95","6","4","552","617","47.22","419","448","48.33","320","333","49.00","30","25","54.55","27.05","24.05","52.94","239","261","47.80","98","103","48.76","11","12","47.83","14.47","83.33","9.38","92.49","1.019"
"2","Tampa Bay Lightning","4","240","0","4","214","187","53.37","152","138","52.41","117","108","52.00","8","19","29.63","8.13","10.28","44.15","95","83","53.37","37","30","55.22","5","6","45.45","18.52","73.91","6.84","82.41","0.892"
"3","Toronto Maple Leafs","7","420","3","4","426","423","50.18","323","339","48.79","224","248","47.46","17","23","42.50","18.92","24.24","43.84","219","211","50.93","72","78","48.00","7","10","41.18","15.22","83.05","7.59","90.73","0.983"
"4","Boston Bruins","24","1472.8","15","9","1382","1383","49.98","1066","1033","50.79","783","744","51.28","79","51","60.77","73.15","62.64","53.87","642","635","50.27","260","245","51.49","35","22","61.40","17.50","87.36","10.09","93.15","1.032"
"5","Carolina Hurricanes","15","936.95","8","7","911","796","53.37","673","595","53.08","457","413","52.53","39","42","48.15","42.15","46.19","47.72","374","399","48.38","163","192","45.92","25","25","50.00","23.36","82.14","8.53","89.83","0.984"
"6","Washington Capitals","7","452.8833","3","4","371","455","44.92","284","339","45.59","190","234","44.81","20","21","48.78","20.16","20.2","49.95","179","181","49.72","82","80","50.62","12","14","46.15","21.05","74.07","10.53","91.03","1.016"
"7","Pittsburgh Penguins","4","244.65","0","4","277","236","54.00","199","178","52.79","136","129","51.32","6","14","30.00","11.18","14.94","42.81","130","133","49.43","46","57","44.66","1","8","11.11","3.13","82.98","4.41","89.15","0.936"
"8","New York Islanders","8","488.7167","4","4","467","507","47.95","341","367","48.16","245","245","50.00","19","19","50.00","26.81","23.09","53.73","252","230","52.28","109","93","53.96","10","11","47.62","12.20","82.81","7.76","92.24","1.000"
"9","Dallas Stars","13","827.8667","7","6","760","857","47.00","552","608","47.59","406","453","47.26","35","30","53.85","39.16","38.08","50.70","412","428","49.05","173","154","52.91","20","12","62.50","15.38","89.47","8.62","93.38","1.020"
"10","Nashville Predators","6","382.0333","2","4","412","389","51.44","288","270","51.61","218","200","52.15","12","18","40.00","19.14","19.07","50.09","218","216","50.23","82","82","50.00","5","8","38.46","8.06","87.50","5.50","91.00","0.965"
"11","St Louis Blues","26","1601.1","16","10","1471","1411","51.04","1080","1058","50.51","782","751","51.01","75","70","51.72","70.85","69.5","50.48","688","688","50.00","260","271","48.96","34","40","45.95","17.17","80.20","9.59","90.68","1.003"
"12","Winnipeg Jets","6","366.0333","2","4","331","337","49.55","247","256","49.11","173","184","48.46","16","16","50.00","15.23","16.73","47.65","166","155","51.71","64","51","55.65","12","7","63.16","24.49","82.05","9.25","91.30","1.006"
"13","Colorado Avalanche","12","741.3667","7","5","748","742","50.20","530","516","50.67","397","376","51.36","35","31","53.03","39.25","34.96","52.89","387","338","53.38","165","141","53.92","21","14","60.00","15.67","86.92","8.82","91.76","1.006"
"14","Calgary Flames","5","318.8333","1","4","302","359","45.69","219","267","45.06","164","205","44.44","11","17","39.29","13.08","18.36","41.61","131","178","42.39","58","74","43.94","5","7","41.67","10.87","88.89","6.71","91.71","0.984"
"15","Vegas Golden Knights","7","469.6","3","4","465","469","49.79","342","313","52.21","245","232","51.36","25","23","52.08","24.44","23.3","51.19","209","223","48.38","101","99","50.50","17","12","58.62","22.08","81.82","10.20","90.09","1.003"
"16","San Jose Sharks","20","1257.5167","10","10","1256","1177","51.62","856","846","50.29","604","606","49.92","58","66","46.77","60.53","63.6","48.76","592","574","50.77","240","260","48.00","30","42","41.67","18.07","79.10","9.60","89.11","0.987"
