"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","New Jersey Devils","5","300","1","4","276","294","48.42","220","240","47.83","171","169","50.29","12","18","40.00","12.92","16.87","43.36","105","138","43.21","40","48","45.45","2","7","22.22","6.06","82.93","7.02","89.35","0.964"
"2","Tampa Bay Lightning","17","1023.3","11","6","967","945","50.58","730","723","50.24","497","536","48.11","50","48","51.02","46.48","42.69","52.13","442","421","51.22","166","153","52.04","21","12","63.64","17.95","89.92","10.06","91.04","1.011"
"3","Toronto Maple Leafs","7","420","3","4","389","443","46.75","294","341","46.30","197","245","44.57","20","28","41.67","17.45","21.5","44.79","192","219","46.72","68","70","49.28","14","14","50.00","23.33","71.43","10.15","88.57","0.987"
"4","Boston Bruins","12","723.3","5","7","704","691","50.47","528","519","50.43","378","351","51.85","41","37","52.56","32.4","31.29","50.87","335","326","50.68","109","115","48.66","19","21","47.50","24.05","78.13","10.85","89.46","1.003"
"5","Columbus Blue Jackets","6","419.2833","2","4","408","422","49.16","293","298","49.58","196","223","46.78","18","24","42.86","15.67","19.86","44.10","181","190","48.79","62","81","43.36","8","7","53.33","17.39","88.89","9.18","89.24","0.984"
"6","Washington Capitals","24","1504.7333","16","8","1454","1454","50.00","1077","1037","50.95","762","691","52.44","86","61","58.50","69.53","63.7","52.19","685","651","51.27","263","272","49.16","34","33","50.75","17.89","81.77","11.29","91.17","1.025"
"7","Philadelphia Flyers","6","360","2","4","303","328","48.02","209","248","45.73","148","184","44.58","15","28","34.88","14.45","15.93","47.57","138","167","45.25","53","56","48.62","5","14","26.32","14.71","68.18","10.14","84.78","0.949"
"8","Pittsburgh Penguins","12","725.45","6","6","680","661","50.71","502","458","52.29","349","319","52.25","42","34","55.26","33.25","30.36","52.27","332","314","51.39","135","111","54.88","20","15","57.14","20.00","77.61","12.03","89.34","1.014"
"9","Colorado Avalanche","6","360","2","4","319","395","44.68","222","289","43.44","172","212","44.79","15","22","40.54","13.13","19.52","40.22","138","153","47.42","49","59","45.37","12","11","52.17","30.77","77.08","8.72","89.62","0.983"
"10","Nashville Predators","13","805.6167","7","6","867","764","53.16","644","553","53.80","466","409","53.26","41","42","49.40","40.57","36.6","52.57","378","347","52.14","142","133","51.64","23","26","46.94","21.50","74.00","8.80","89.73","0.985"
"11","Minnesota Wild","5","300","1","4","251","335","42.83","177","244","42.04","126","169","42.71","9","16","36.00","9.76","15.31","38.92","102","133","43.40","43","52","45.26","6","7","46.15","19.35","79.41","7.14","90.53","0.977"
"12","Winnipeg Jets","17","1045.6167","9","8","1106","1009","52.29","818","730","52.84","567","520","52.16","53","42","55.79","54.91","44.97","54.98","484","466","50.95","211","177","54.38","25","27","48.08","16.89","78.91","9.35","91.92","1.013"
"13","Los Angeles Kings","4","275.3833","0","4","257","290","46.98","182","207","46.79","130","131","49.81","3","7","30.00","8.52","11.58","42.40","90","128","41.28","31","47","39.74","1","3","25.00","5.00","90.00","2.31","94.66","0.970"
"14","Vegas Golden Knights","20","1268.8833","13","7","1311","1264","50.91","919","926","49.81","629","641","49.53","57","47","54.81","60.68","59.82","50.36","586","533","52.37","241","249","49.18","34","24","58.62","20.48","86.52","9.06","92.67","1.017"
"15","San Jose Sharks","10","633.5","6","4","673","674","49.96","482","478","50.21","343","334","50.66","30","26","53.57","34.97","31.49","52.62","315","294","51.72","156","129","54.74","21","11","65.63","18.42","88.42","8.75","92.22","1.010"
"16","Anaheim Ducks","4","240","0","4","262","258","50.38","189","195","49.22","132","129","50.57","4","16","20.00","11.5","14.69","43.90","110","133","45.27","46","63","42.20","1","14","6.67","2.78","70.21","3.03","87.60","0.906"
