"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Boston Bruins","11","709.5333","6","5","760","635","54.48","579","470","55.20","394","341","53.61","33","32","50.77","36.51","29.55","55.27","371","311","54.40","135","101","57.20","14","15","48.28","15.05","81.93","8.38","90.62","0.990"
"2","Washington Capitals","5","331.1333","1","4","323","346","48.28","239","266","47.33","169","173","49.42","10","16","38.46","13.07","16.29","44.52","145","163","47.08","46","63","42.20","4","7","36.36","10.53","82.93","5.92","90.75","0.967"
"3","New York Islanders","19","1196.8833","11","8","975","1201","44.81","724","914","44.20","542","668","44.79","54","53","50.47","48.98","55.22","47.01","526","621","45.86","193","217","47.07","28","28","50.00","18.42","83.53","9.96","92.07","1.020"
"4","Pittsburgh Penguins","6","397.35","2","4","411","306","57.32","314","236","57.09","231","188","55.13","16","21","43.24","15.97","14.65","52.14","194","152","56.07","65","68","48.87","8","11","42.11","16.00","79.63","6.93","88.83","0.958"
"5","Minnesota Wild","7","423.3333","3","4","349","473","42.46","235","333","41.37","174","225","43.61","13","20","39.39","14.76","21.55","40.66","167","200","45.50","65","75","46.43","6","8","42.86","12.00","82.22","7.47","91.11","0.986"
"6","Vegas Golden Knights","19","1162.1167","10","9","1224","1009","54.81","875","668","56.71","610","502","54.86","53","46","53.54","54.82","48.24","53.19","519","468","52.58","205","205","50.00","24","19","55.81","18.32","87.16","8.69","90.84","0.995"
"7","St Louis Blues","4","240","0","4","212","254","45.49","150","192","43.86","110","145","43.14","7","20","25.93","7.76","14.89","34.26","73","118","38.22","26","43","37.68","2","10","16.67","9.09","71.43","6.36","86.21","0.926"
"8","Colorado Avalanche","10","602.95","6","4","611","576","51.47","414","417","49.82","308","302","50.49","38","27","58.46","30.67","23.74","56.37","285","225","55.88","109","96","53.17","15","13","53.57","19.23","81.16","12.34","91.06","1.034"
"9","Winnipeg Jets","8","541.8333","4","4","468","558","45.61","337","396","45.98","241","291","45.30","20","22","47.62","19.73","29.79","39.84","202","282","41.74","81","128","38.76","9","17","34.62","17.31","83.00","8.30","92.44","1.007"
"10","Edmonton Oilers","4","300.1833","0","4","323","257","55.69","222","188","54.15","159","138","53.54","8","14","36.36","15.06","11.53","56.62","160","115","58.18","72","48","60.00","7","7","50.00","12.96","79.41","5.03","89.86","0.949"
"11","Carolina Hurricanes","11","740.1667","5","6","778","648","54.56","592","497","54.36","405","338","54.51","31","30","50.82","34.64","28.92","54.49","339","314","51.91","131","133","49.62","16","18","47.06","16.49","81.25","7.65","91.12","0.988"
"12","Nashville Predators","6","434.2167","2","4","390","473","45.19","301","363","45.33","205","254","44.66","16","22","42.11","15.92","20.83","43.32","159","198","44.54","64","76","45.71","11","12","47.83","22.00","80.00","7.80","91.34","0.991"
"13","Montreal Canadiens","22","1357.6667","13","9","1172","1267","48.05","843","934","47.44","635","676","48.44","51","54","48.57","59.04","62.62","48.53","546","591","48.02","225","227","49.78","30","23","56.60","17.65","85.06","8.03","92.01","1.000"
"14","Toronto Maple Leafs","7","436.2333","3","4","412","373","52.48","307","264","53.77","236","198","54.38","18","14","56.25","22.64","15.94","58.68","206","167","55.23","82","55","59.85","8","10","44.44","12.70","77.27","7.63","92.93","1.006"
"15","Tampa Bay Lightning","23","1396.9667","16","7","1197","1314","47.67","925","983","48.48","680","700","49.28","75","45","62.50","61.87","62.28","49.84","651","689","48.58","257","244","51.30","42","19","68.85","21.21","89.39","11.03","93.57","1.046"
"16","Florida Panthers","6","365.9333","2","4","391","306","56.10","303","239","55.90","227","187","54.83","17","24","41.46","19.96","15.36","56.51","217","146","59.78","79","56","58.52","7","14","33.33","10.94","72.00","7.49","87.17","0.947"
