"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Montreal Canadiens","4","240","0","4","217","234","48.12","162","175","48.07","111","130","46.06","6","17","26.09","8.18","12.06","40.41","88","109","44.67","38","42","47.50","1","9","10.00","3.33","73.53","5.41","86.92","0.923"
"2","Boston Bruins","11","681.5667","7","4","599","579","50.85","451","443","50.45","329","324","50.38","34","22","60.71","29.04","25.08","53.66","269","228","54.12","100","102","49.50","18","11","62.07","20.69","86.42","10.33","93.21","1.035"
"3","New York Rangers","7","420","3","4","343","437","43.97","256","320","44.44","166","216","43.46","11","19","36.67","16.59","23.08","41.82","188","242","43.72","75","103","42.13","7","10","41.18","14.29","87.34","6.63","91.20","0.978"
"4","Washington Capitals","14","861.2167","7","7","824","795","50.90","580","607","48.86","396","422","48.41","41","38","51.90","37.95","38.07","49.92","391","427","47.80","159","154","50.80","20","21","48.78","16.39","79.81","10.35","91.00","1.013"
"5","Carolina Hurricanes","18","1109.2","8","10","1010","1010","50.00","761","780","49.38","570","579","49.61","42","52","44.68","45.97","52","46.92","429","484","46.99","183","186","49.59","26","29","47.27","17.81","81.76","7.37","91.02","0.984"
"6","New Jersey Devils","7","427.6333","3","4","406","405","50.06","319","311","50.63","242","239","50.31","15","17","46.88","21.16","18.49","53.37","192","182","51.34","79","70","53.02","10","11","47.62","14.71","81.03","6.20","92.89","0.991"
"7","Philadelphia Flyers","6","378.4833","2","4","365","357","50.55","269","260","50.85","194","200","49.24","16","18","47.06","18.95","17.92","51.40","163","148","52.41","70","67","51.09","11","11","50.00","20.37","79.63","8.25","91.00","0.992"
"8","Pittsburgh Penguins","24","1479.7","16","8","1345","1403","48.94","1037","997","50.98","781","695","52.91","79","64","55.24","67.38","60.41","52.73","657","574","53.37","244","237","50.73","44","33","57.14","23.40","82.16","10.12","90.79","1.009"
"9","Anaheim Ducks","13","827.2833","7","6","660","930","41.51","509","734","40.95","349","532","39.61","35","32","52.24","33.93","47.61","41.61","301","414","42.10","134","178","42.95","15","17","46.88","15.00","88.36","10.03","93.98","1.040"
"10","San Jose Sharks","6","366.0333","2","4","401","319","55.69","308","241","56.10","230","156","59.59","10","18","35.71","23.81","18.18","56.70","197","161","55.03","102","75","57.63","7","8","46.67","8.14","85.71","4.35","88.46","0.928"
"11","Columbus Blue Jackets","4","240","0","4","207","242","46.10","157","185","45.91","110","140","44.00","7","18","28.00","8.45","9.13","48.06","73","77","48.67","45","30","60.00","5","9","35.71","13.51","65.38","6.36","87.14","0.935"
"12","Detroit Red Wings","23","1432.3167","15","8","1496","1099","57.65","1154","867","57.10","835","647","56.34","76","48","61.29","60.53","48.17","55.69","557","422","56.89","203","184","52.45","33","26","55.93","19.64","82.67","9.10","92.58","1.017"
"13","St Louis Blues","4","259.6833","0","4","234","215","52.12","179","166","51.88","131","120","52.19","5","11","31.25","11.68","12.3","48.70","111","123","47.44","43","49","46.74","4","7","36.36","11.43","81.58","3.82","90.83","0.947"
"14","Vancouver Canucks","10","622.55","6","4","473","546","46.42","353","409","46.33","263","306","46.22","30","28","51.72","26.41","28.31","48.26","243","257","48.60","103","104","49.76","17","19","47.22","20.73","78.89","11.41","90.85","1.023"
"15","Calgary Flames","6","360.2","2","4","291","294","49.74","220","244","47.41","176","175","50.14","16","21","43.24","14.02","13.8","50.40","133","111","54.51","57","49","53.77","11","12","47.83","23.40","72.09","9.09","88.00","0.971"
"16","Chicago Blackhawks","17","1034.1333","9","8","860","866","49.83","675","651","50.90","507","509","49.90","54","54","50.00","40.31","39.75","50.35","328","361","47.61","141","146","49.13","32","28","53.33","25.40","77.05","10.65","89.39","1.000"
