"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","New York Islanders","11","743.5667","5","6","652","741","46.81","510","553","47.98","364","392","48.15","26","32","44.83","30.77","33.15","48.14","332","389","46.05","133","146","47.67","17","17","50.00","15.74","84.55","7.14","91.84","0.990"
"2","Florida Panthers","6","439.2","2","4","442","392","53.00","332","310","51.71","235","227","50.87","14","15","48.28","20.07","17.92","52.84","236","204","53.64","87","79","52.41","10","11","47.62","14.71","83.08","5.96","93.39","0.993"
"3","Detroit Red Wings","5","300","1","4","293","259","53.08","211","197","51.72","160","138","53.69","8","12","40.00","13.2","12.24","51.90","138","109","55.87","49","40","55.06","4","5","44.44","10.53","84.38","5.00","91.30","0.963"
"4","Tampa Bay Lightning","17","1025.9167","11","6","899","1008","47.14","664","771","46.27","474","566","45.58","48","40","54.55","39.82","50.35","44.16","412","496","45.37","161","196","45.10","21","21","50.00","16.41","86.45","10.13","92.93","1.031"
"5","Philadelphia Flyers","6","360","2","4","320","408","43.96","224","283","44.18","155","186","45.45","6","14","30.00","13.42","18.42","42.16","134","189","41.49","56","77","42.11","4","6","40.00","10.53","88.00","3.87","92.47","0.963"
"6","Washington Capitals","12","738.65","6","6","815","719","53.13","577","525","52.36","388","364","51.60","29","22","56.86","35.62","30.29","54.05","385","302","56.04","149","120","55.39","15","14","51.72","14.56","82.93","7.47","93.96","1.014"
"7","New York Rangers","5","300","1","4","310","277","52.81","222","206","51.87","154","153","50.16","10","21","32.26","13.52","15.63","46.38","139","136","50.55","58","71","44.96","7","13","35.00","17.07","78.33","6.49","86.27","0.928"
"8","Pittsburgh Penguins","24","1475.0833","16","8","1525","1402","52.10","1142","970","54.07","837","674","55.39","73","55","57.03","74.86","58.57","56.10","719","626","53.46","302","245","55.21","43","30","58.90","17.99","83.96","8.72","91.84","1.006"
"9","Minnesota Wild","6","364.9167","2","4","311","379","45.07","214","242","46.93","156","164","48.75","17","21","44.74","13.45","13.81","49.35","130","153","45.94","63","59","51.64","13","10","56.52","29.55","76.19","10.90","87.20","0.981"
"10","Dallas Stars","13","798.85","7","6","795","699","53.21","545","506","51.86","368","356","50.83","35","42","45.45","33.84","34.34","49.63","345","317","52.11","155","138","52.90","19","28","40.43","17.12","71.72","9.51","88.20","0.977"
"11","Chicago Blackhawks","7","452.1833","3","4","446","396","52.97","335","287","53.86","256","205","55.53","20","19","51.28","21.42","17.68","54.78","207","179","53.63","78","77","50.32","11","7","61.11","16.18","87.50","7.81","90.73","0.985"
"12","St Louis Blues","20","1246.1167","10","10","1077","1194","47.42","774","875","46.94","550","620","47.01","57","56","50.44","50.61","60.55","45.53","479","573","45.53","202","248","44.89","32","31","50.79","22.07","83.77","10.36","90.97","1.013"
"13","Nashville Predators","14","893.25","7","7","873","867","50.17","612","609","50.12","410","411","49.94","31","43","41.89","34.94","39.77","46.76","357","361","49.72","126","150","45.65","22","27","44.90","22.22","74.77","7.56","89.54","0.971"
"14","Anaheim Ducks","7","420","3","4","402","388","50.89","292","284","50.69","200","193","50.89","18","14","56.25","18.83","16.75","52.92","164","154","51.57","67","57","54.03","13","10","56.52","26.53","79.17","9.00","92.75","1.017"
"15","San Jose Sharks","24","1511.9167","14","10","1430","1502","48.77","968","1013","48.86","643","693","48.13","75","56","57.25","69.3","61.93","52.81","658","650","50.31","275","266","50.83","37","38","49.33","19.68","79.35","11.66","91.92","1.036"
"16","Los Angeles Kings","5","303.7833","1","4","330","289","53.31","215","206","51.07","125","133","48.45","11","16","40.74","13.63","15.91","46.13","149","146","50.51","73","65","52.90","7","7","50.00","18.42","81.08","8.80","87.97","0.968"
