"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Montreal Canadiens","6","392.9333","2","4","419","359","53.86","286","249","53.46","206","181","53.23","11","14","44.00","18.01","15.38","53.93","183","150","54.95","73","60","54.89","6","8","42.86","10.34","79.49","5.34","92.27","0.976"
"2","New York Rangers","12","782.3","6","6","746","799","48.28","547","550","49.86","396","396","50.00","34","30","53.13","35.17","33.59","51.15","340","337","50.22","154","142","52.03","18","15","54.55","16.82","86.36","8.59","92.42","1.010"
"3","Ottawa Senators","19","1244.0167","11","8","1096","1168","48.41","788","862","47.76","574","622","47.99","47","50","48.45","44.18","50.48","46.67","437","530","45.19","184","216","46.00","25","26","49.02","17.36","84.43","8.19","91.96","1.001"
"4","Boston Bruins","6","404.5167","2","4","354","364","49.30","248","265","48.34","165","187","46.88","13","15","46.43","12.18","13.85","46.78","151","140","51.89","49","57","46.23","6","6","50.00","17.14","86.36","7.88","91.98","0.999"
"5","Toronto Maple Leafs","6","406.3333","2","4","426","422","50.24","299","306","49.42","213","211","50.24","16","18","47.06","17.56","16.23","51.96","187","185","50.27","84","60","58.33","10","7","58.82","17.54","80.56","7.51","91.47","0.990"
"6","Washington Capitals","13","829.55","7","6","906","744","54.91","634","536","54.19","440","375","53.99","36","36","50.00","37.57","32.71","53.46","420","338","55.41","136","150","47.55","13","18","41.94","15.85","82.35","8.18","90.40","0.986"
"7","Columbus Blue Jackets","5","313.1667","1","4","343","309","52.61","249","226","52.42","194","171","53.15","13","21","38.24","15.83","19.33","45.01","163","170","48.95","60","78","43.48","8","14","36.36","17.39","75.44","6.70","87.72","0.944"
"8","Pittsburgh Penguins","25","1546.5167","16","9","1309","1512","46.40","968","1074","47.40","719","794","47.52","77","57","57.46","66.21","66.19","50.01","624","684","47.71","272","243","52.82","41","33","55.41","19.16","81.87","10.71","92.82","1.035"
"9","Nashville Predators","22","1356.55","14","8","1289","1162","52.59","920","849","52.01","653","619","51.34","60","48","55.56","62.27","54.82","53.18","581","499","53.80","204","193","51.39","33","23","58.93","21.71","84.87","9.19","92.25","1.014"
"10","Chicago Blackhawks","4","256.7333","0","4","241","240","50.10","166","161","50.76","126","124","50.40","3","13","18.75","9.11","11.01","45.27","90","106","45.92","34","38","47.22","1","9","10.00","4.35","67.86","2.38","89.52","0.919"
"11","St Louis Blues","11","687.5","6","5","562","679","45.29","418","485","46.29","296","337","46.76","22","23","48.89","24.97","29.53","45.81","246","299","45.14","85","94","47.49","12","11","52.17","18.18","83.82","7.43","93.18","1.006"
"12","Minnesota Wild","5","327.5","1","4","349","246","58.66","252","185","57.67","182","134","57.59","8","11","42.11","13.13","10.34","55.95","135","95","58.70","49","38","56.32","4","5","44.44","11.11","82.76","4.40","91.79","0.962"
"13","Edmonton Oilers","13","829.3167","7","6","809","885","47.76","559","652","46.16","380","445","46.06","36","35","50.70","40.79","43.28","48.52","390","426","47.79","161","178","47.49","22","16","57.89","20.95","86.99","9.47","92.13","1.016"
"14","San Jose Sharks","6","381.6167","2","4","376","382","49.60","258","248","50.99","173","169","50.58","14","12","53.85","17.82","16.49","51.93","179","167","51.73","72","60","54.55","9","6","60.00","18.00","82.86","8.09","92.90","1.010"
"15","Anaheim Ducks","17","1069.0167","10","7","1101","1067","50.78","837","795","51.29","581","549","51.42","50","52","49.02","53.99","58.78","47.88","489","511","48.90","208","228","47.71","18","32","36.00","11.61","80.12","8.61","90.53","0.991"
"16","Calgary Flames","4","241.5","0","4","254","242","51.21","196","182","51.85","138","122","53.08","9","14","39.13","13.9","10.66","56.61","120","98","55.05","55","45","55.00","8","5","61.54","19.51","86.84","6.52","88.52","0.950"
