"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Tampa Bay Lightning","5","302.9833","1","4","309","320","49.13","221","227","49.33","135","160","45.76","14","20","41.18","14.05","19.91","41.37","138","162","46.00","57","78","42.22","5","10","33.33","12.82","82.76","10.37","87.50","0.979"
"2","Florida Panthers","24","1463.7833","16","8","1648","1349","54.99","1129","950","54.30","743","606","55.08","73","62","54.07","81.29","64.05","55.93","758","597","55.94","310","258","54.58","38","28","57.58","19.49","83.43","9.83","89.77","0.996"
"3","Toronto Maple Leafs","7","424.3333","3","4","456","415","52.35","309","300","50.74","215","192","52.83","12","18","40.00","21.03","23.04","47.71","203","184","52.45","79","85","48.17","9","9","50.00","16.07","83.93","5.58","90.63","0.962"
"4","Boston Bruins","13","784.3333","6","7","691","896","43.54","491","614","44.43","322","418","43.51","31","31","50.00","37.03","41.18","47.34","305","408","42.78","159","152","51.13","14","19","42.42","13.86","81.00","9.63","92.58","1.022"
"5","Washington Capitals","4","240","0","4","236","230","50.64","147","161","47.73","100","104","49.02","7","15","31.82","10.24","12","46.05","114","94","54.81","47","35","57.32","5","6","45.45","16.13","75.00","7.00","85.58","0.926"
"6","New York Rangers","16","1009.9167","10","6","978","1180","45.32","675","804","45.64","412","527","43.88","47","42","52.81","46.27","54.2","46.05","425","529","44.55","163","223","42.23","24","27","47.06","23.30","81.38","11.41","92.03","1.034"
"7","New York Islanders","5","321.4","1","4","290","411","41.37","216","285","43.11","136","169","44.59","12","19","38.71","14","18.41","43.20","119","173","40.75","54","68","44.26","7","10","41.18","18.42","72.22","8.82","88.76","0.976"
"8","Carolina Hurricanes","11","710.5167","6","5","886","666","57.09","629","472","57.13","393","293","57.29","38","32","54.29","41.19","33.43","55.20","375","294","56.05","150","124","54.74","24","18","57.14","26.67","77.78","9.67","89.08","0.987"
"9","Vegas Golden Knights","7","436.3833","3","4","449","488","47.92","293","336","46.58","189","200","48.59","16","16","50.00","17.52","24.63","41.57","168","233","41.90","62","98","38.75","8","8","50.00","21.05","84.31","8.47","92.00","1.005"
"10","Dallas Stars","19","1219.6667","10","9","1249","1238","50.22","851","812","51.17","531","520","50.52","52","48","52.00","65","52.71","55.22","589","508","53.69","232","194","54.46","23","28","45.10","17.16","76.47","9.79","90.77","1.006"
"11","Colorado Avalanche","11","702.75","6","5","775","709","52.22","518","492","51.29","354","316","52.84","43","37","53.75","37.77","37.19","50.39","358","300","54.41","136","132","50.75","21","16","56.76","25.00","79.75","12.15","88.29","1.004"
"12","Winnipeg Jets","5","300","1","4","306","357","46.15","216","251","46.25","141","186","43.12","15","28","34.88","13.37","21.21","38.66","126","176","41.72","56","73","43.41","7","14","33.33","22.58","73.08","10.64","84.95","0.956"
"13","Nashville Predators","6","361.0333","2","4","333","333","50.00","233","222","51.21","148","121","55.02","12","13","48.00","15.97","14.16","53.01","144","156","48.00","60","59","50.42","5","5","50.00","13.51","84.38","8.11","89.26","0.974"
"14","Vancouver Canucks","13","786.6667","7","6","703","769","47.76","488","548","47.10","270","351","43.48","33","36","47.83","32.51","37.37","46.52","333","336","49.78","131","140","48.34","14","13","51.85","18.92","84.71","12.22","89.74","1.020"
"15","Los Angeles Kings","5","302.1167","1","4","334","290","53.53","220","206","51.64","145","155","48.33","13","22","37.14","13.07","16.92","43.58","126","149","45.82","56","74","43.08","3","10","23.08","8.82","80.77","8.97","85.81","0.948"
"16","Edmonton Oilers","25","1528.2833","15","10","1489","1481","50.13","1053","1009","51.07","711","627","53.14","86","65","56.95","78.12","68","53.46","681","663","50.67","292","251","53.78","42","28","60.00","21.21","80.56","12.10","89.63","1.017"
