"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Florida Panthers","21","1379.3167","13","8","1381","1447","48.83","964","1103","46.64","662","749","46.92","62","69","47.33","69.2","84.6","44.99","645","716","47.39","295","341","46.38","34","40","45.95","17.35","82.53","9.37","90.79","1.002"
"2","Boston Bruins","7","434.6667","3","4","474","432","52.32","363","307","54.18","249","226","52.42","27","26","50.94","26.37","23.67","52.70","231","207","52.74","97","88","52.43","17","15","53.13","23.94","77.61","10.84","88.50","0.993"
"3","Tampa Bay Lightning","6","388.0833","2","4","428","363","54.11","290","256","53.11","196","184","51.58","21","23","47.73","19.16","18.59","50.76","230","182","55.83","81","87","48.21","14","11","56.00","23.33","82.26","10.71","87.50","0.982"
"4","Toronto Maple Leafs","11","706.65","5","6","682","736","48.10","507","510","49.85","358","350","50.56","33","35","48.53","36.33","34.96","50.97","347","387","47.28","171","151","53.11","15","23","39.47","12.93","78.30","9.22","90.00","0.992"
"5","New York Islanders","6","371.05","2","4","355","411","46.34","258","297","46.49","174","211","45.19","15","16","48.39","19.08","19.59","49.34","165","183","47.41","89","83","51.74","6","10","37.50","10.53","83.05","8.62","92.42","1.010"
"6","Carolina Hurricanes","15","999.8333","8","7","1098","882","55.45","799","640","55.52","541","433","55.54","46","38","54.76","56.45","46.31","54.93","495","425","53.80","234","225","50.98","30","23","56.60","20.83","84.03","8.50","91.22","0.997"
"7","New York Rangers","7","431.6","3","4","389","434","47.27","286","302","48.64","195","206","48.63","17","17","50.00","19.9","25.59","43.74","192","227","45.82","69","108","38.98","11","11","50.00","25.58","85.90","8.72","91.75","1.005"
"8","New Jersey Devils","12","738.75","5","7","691","721","48.94","495","532","48.20","338","351","49.06","30","41","42.25","39.09","37.83","50.82","351","351","50.00","175","145","54.69","21","27","43.75","17.50","67.47","8.88","88.32","0.972"
"9","Seattle Kraken","14","855.2833","7","7","807","897","47.36","593","636","48.25","408","428","48.80","44","45","49.44","34.96","48.06","42.11","331","428","43.61","152","185","45.10","21","27","43.75","22.11","77.87","10.78","89.49","1.003"
"10","Colorado Avalanche","7","423","3","4","465","404","53.51","331","294","52.96","233","210","52.60","19","18","51.35","23.18","18.66","55.41","210","173","54.83","80","86","48.19","11","10","52.38","20.37","82.76","8.15","91.43","0.996"
"11","Minnesota Wild","6","392.3333","2","4","381","396","49.03","275","282","49.37","184","190","49.20","14","21","40.00","18.06","20.27","47.13","176","178","49.72","68","68","50.00","10","10","50.00","22.22","76.19","7.61","88.95","0.966"
"12","Dallas Stars","19","1190.7","10","9","1208","1115","52.00","855","817","51.14","582","556","51.14","59","61","49.17","63.86","49.93","56.12","558","489","53.30","239","197","54.82","34","36","48.57","21.38","71.88","10.14","89.03","0.992"
"13","Winnipeg Jets","5","323.6667","1","4","328","303","51.98","227","211","51.83","154","159","49.20","14","19","42.42","14.98","17.33","46.36","150","144","51.02","55","59","48.25","9","11","45.00","27.27","73.81","9.09","88.05","0.971"
"14","Vegas Golden Knights","22","1354.2","16","6","1236","1455","45.93","912","1005","47.57","662","705","48.43","88","57","60.69","72.88","71.7","50.41","617","653","48.58","271","275","49.63","56","30","65.12","28.00","83.43","13.29","91.91","1.052"
"15","Los Angeles Kings","6","383.3667","2","4","375","394","48.76","262","299","46.70","201","212","48.67","20","25","44.44","18.89","22.46","45.68","190","224","45.89","81","100","44.75","12","11","52.17","19.67","84.51","9.95","88.21","0.982"
"16","Edmonton Oilers","12","743.3667","6","6","770","678","53.18","561","487","53.53","411","378","52.09","44","42","51.16","44.47","37.32","54.37","420","341","55.19","186","145","56.19","21","27","43.75","15.91","76.32","10.71","88.89","0.996"
