"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","New York Rangers","5","351","1","4","299","344","46.50","195","241","44.72","148","156","48.68","8","13","38.10","12.13","16.47","42.42","144","160","47.37","49","67","42.24","5","9","35.71","13.89","82.35","5.41","91.67","0.971"
"2","Washington Capitals","9","597.3167","4","5","617","508","54.84","426","349","54.97","289","262","52.45","23","24","48.94","27.77","24.4","53.23","270","257","51.23","118","100","54.13","16","18","47.06","17.98","76.62","7.96","90.84","0.988"
"3","Buffalo Sabres","7","430.2333","3","4","397","483","45.11","290","364","44.34","212","251","45.79","18","22","45.00","19.37","25.47","43.19","163","215","43.12","80","117","40.61","10","11","47.62","16.13","88.04","8.49","91.24","0.997"
"4","Philadelphia Flyers","11","684.2333","4","7","727","645","52.99","546","470","53.74","400","341","53.98","29","38","43.28","36","32.65","52.44","318","272","53.90","159","126","55.79","15","23","39.47","12.20","77.45","7.25","88.86","0.961"
"5","Montreal Canadiens","7","456.75","3","4","401","481","45.46","294","337","46.59","229","243","48.52","17","17","50.00","16.4","18.8","46.59","150","201","42.74","57","62","47.90","9","7","56.25","20.93","84.78","7.42","93.00","1.004"
"6","Boston Bruins","25","1550.9333","16","9","1503","1491","50.20","1087","1114","49.39","798","851","48.39","81","53","60.45","66.38","61.83","51.77","660","610","51.97","241","243","49.79","47","31","60.26","24.23","84.02","10.15","93.77","1.039"
"7","Tampa Bay Lightning","18","1109.95","11","7","958","1171","45.00","721","835","46.34","521","591","46.85","59","45","56.73","47.44","46.31","50.60","448","466","49.02","194","184","51.32","41","27","60.29","25.63","81.88","11.32","92.39","1.037"
"8","Pittsburgh Penguins","7","443.6333","3","4","510","352","59.16","365","263","58.12","257","180","58.81","14","22","38.89","19.11","16.95","53.00","202","155","56.58","76","71","51.70","7","17","29.17","11.48","72.13","5.45","87.78","0.932"
"9","Chicago Blackhawks","7","440.8667","3","4","360","420","46.15","286","305","48.39","216","218","49.77","22","16","57.89","17.66","16.6","51.55","165","186","47.01","70","71","49.65","11","10","52.38","19.30","80.77","10.19","92.66","1.028"
"10","Vancouver Canucks","25","1596.95","15","10","1555","1403","52.57","1120","1041","51.83","808","794","50.44","58","69","45.67","63.23","65.39","49.16","691","640","51.92","273","270","50.28","33","39","45.83","15.94","81.43","7.18","91.31","0.985"
"11","Los Angeles Kings","6","380.25","2","4","339","435","43.80","236","318","42.60","169","229","42.46","20","20","50.00","13.79","20.73","39.96","135","206","39.59","52","81","39.10","12","11","52.17","27.27","82.81","11.83","91.27","1.031"
"12","San Jose Sharks","18","1146.95","9","9","1226","1125","52.15","890","787","53.07","664","569","53.85","51","58","46.79","57.67","48.24","54.45","557","501","52.65","231","196","54.10","27","27","50.00","15.17","82.69","7.68","89.81","0.975"
"13","Phoenix Coyotes","4","240","0","4","233","255","47.75","174","210","45.31","118","141","45.56","10","18","35.71","10.4","13.91","42.77","109","122","47.19","38","54","41.30","4","7","36.36","15.38","80.00","8.47","87.23","0.957"
"14","Detroit Red Wings","11","676.4","7","4","723","678","51.61","540","497","52.07","388","364","51.60","36","28","56.25","33.83","31.27","51.97","338","316","51.68","131","119","52.40","14","11","56.00","14.00","87.21","9.28","92.31","1.016"
"15","Nashville Predators","12","767.55","6","6","679","669","50.37","486","485","50.05","354","354","50.00","33","34","49.25","31.71","32","49.78","305","325","48.41","134","132","50.38","21","24","46.67","21.00","77.57","9.32","90.40","0.997"
"16","Anaheim Ducks","6","361.95","2","4","301","368","44.99","225","265","45.92","163","190","46.18","20","22","47.62","16.58","18.45","47.33","147","170","46.37","69","79","46.62","16","16","50.00","26.23","72.88","12.27","88.42","1.007"
