"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Ottawa Senators","6","382.1667","2","4","378","329","53.47","247","244","50.31","144","151","48.81","16","19","45.71","17.36","17.5","49.80","164","146","52.90","66","65","50.38","8","7","53.33","20.51","82.05","11.11","87.42","0.985"
"2","Toronto Maple Leafs","10","637.6167","6","4","536","689","43.76","404","463","46.60","255","274","48.20","32","30","51.61","29.3","31.44","48.24","243","311","43.86","113","125","47.48","14","15","48.28","20.00","79.17","12.55","89.05","1.016"
"3","Florida Panthers","9","555.45","6","3","581","485","54.50","404","348","53.72","258","216","54.43","33","25","56.90","28.7","23.62","54.85","264","210","55.70","114","95","54.55","17","14","54.84","25.76","76.27","12.79","88.43","1.012"
"4","Tampa Bay Lightning","5","300","1","4","278","270","50.73","188","188","50.00","112","128","46.67","12","19","38.71","11.82","14.61","44.72","113","117","49.13","47","55","46.08","7","10","41.18","25.00","69.70","10.71","85.16","0.959"
"5","Montreal Canadiens","5","302.4333","1","4","343","278","55.23","240","212","53.10","148","139","51.57","12","18","40.00","15.16","18.75","44.70","140","136","50.72","50","65","43.48","6","9","40.00","23.08","79.55","8.11","87.05","0.952"
"6","Washington Capitals","9","545.5333","5","4","465","672","40.90","349","447","43.84","216","274","44.08","24","24","50.00","29.99","29.45","50.45","231","283","44.94","112","99","53.08","9","9","50.00","13.24","82.35","11.11","91.24","1.024"
"7","New Jersey Devils","5","346.8833","1","4","305","416","42.30","225","306","42.37","144","183","44.04","11","19","36.67","16.88","22.51","42.85","150","191","43.99","64","80","44.44","6","5","54.55","15.79","88.89","7.64","89.62","0.973"
"8","Carolina Hurricanes","9","589.9833","7","2","745","492","60.23","513","362","58.63","309","221","58.30","31","17","64.58","36.8","28.11","56.69","334","245","57.69","129","111","53.75","8","6","57.14","11.43","90.32","10.03","92.31","1.023"
"9","St Louis Blues","7","456.1667","3","4","384","454","45.82","274","331","45.29","166","194","46.11","27","21","56.25","17.4","23.64","42.40","167","201","45.38","69","92","42.86","12","13","48.00","28.57","77.97","16.27","89.18","1.054"
"10","Winnipeg Jets","10","636.1667","5","5","643","550","53.90","469","386","54.85","276","237","53.80","29","35","45.31","32.69","26.99","54.78","280","256","52.24","129","107","54.66","16","15","51.61","20.51","76.56","10.51","85.23","0.957"
"11","Colorado Avalanche","7","443.2833","3","4","531","408","56.55","378","291","56.50","240","186","56.34","24","21","53.33","27.39","24.35","52.95","253","198","56.10","100","85","54.05","12","6","66.67","18.75","87.23","10.00","88.71","0.987"
"12","Dallas Stars","10","623.2833","6","4","574","720","44.36","403","516","43.85","257","322","44.39","29","32","47.54","33.93","36.45","48.21","287","332","46.37","123","137","47.31","9","15","37.50","13.04","81.93","11.28","90.06","1.013"
"13","Minnesota Wild","6","381.5167","2","4","372","449","45.31","244","307","44.28","153","193","44.22","19","18","51.35","18.04","19.57","47.96","176","195","47.44","67","70","48.91","9","8","52.94","22.50","80.00","12.42","90.67","1.031"
"14","Vegas Golden Knights","10","636.85","5","5","699","643","52.09","467","434","51.83","289","270","51.70","28","34","45.16","30.24","30.98","49.39","316","307","50.72","114","122","48.31","12","16","42.86","20.00","76.12","9.69","87.41","0.971"
"15","Edmonton Oilers","10","633.6333","7","3","717","630","53.23","509","437","53.81","327","275","54.32","42","34","55.26","39.84","30.28","56.82","343","292","54.02","160","108","59.70","22","15","59.46","25.29","76.56","12.84","87.64","1.005"
"16","Los Angeles Kings","6","378.3","2","4","380","446","46.00","277","319","46.48","179","210","46.02","24","27","47.06","19.61","26.9","42.16","171","212","44.65","64","105","37.87","11","15","42.31","25.00","75.00","13.41","87.14","1.006"
