"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","15","979.5167","8","7","920","938","49.52","705","680","50.90","500","490","50.51","49","40","55.06","43.04","38.92","52.51","430","408","51.31","149","166","47.30","28","25","52.83","22.95","81.20","9.80","91.84","1.016"
"2","New York Islanders","6","376.55","2","4","388","334","53.74","281","246","53.32","197","167","54.12","17","25","40.48","18.59","16.71","52.66","194","176","52.43","85","70","54.84","9","14","39.13","13.43","74.55","8.63","85.03","0.937"
"3","Montreal Canadiens","5","302.5333","1","4","313","310","50.24","239","212","52.99","180","154","53.89","9","20","31.03","15.15","11.11","57.68","143","110","56.52","72","46","61.02","6","12","33.33","12.24","61.29","5.00","87.01","0.920"
"4","Ottawa Senators","10","630.1833","5","5","643","628","50.59","449","498","47.41","324","377","46.22","31","31","50.00","23.63","30.59","43.58","242","285","45.92","92","120","43.40","20","20","50.00","29.41","78.02","9.57","91.78","1.013"
"5","New York Rangers","12","760.1167","5","7","743","846","46.76","520","597","46.55","362","412","46.77","26","28","48.15","33.96","38.56","46.83","354","390","47.58","152","171","47.06","17","14","54.84","15.60","88.14","7.18","93.20","1.004"
"6","Washington Capitals","7","437.4","3","4","493","436","53.07","332","306","52.04","226","205","52.44","12","16","42.86","22.24","21.74","50.57","239","215","52.64","106","97","52.22","7","11","38.89","9.46","83.82","5.31","92.20","0.975"
"7","Boston Bruins","22","1473","14","8","1453","1401","50.91","1069","1038","50.74","782","762","50.65","65","47","58.04","62.12","58.83","51.36","635","626","50.36","241","223","51.94","27","26","50.94","14.44","85.39","8.31","93.83","1.021"
"8","Toronto Maple Leafs","7","439.1833","3","4","398","528","42.98","306","387","44.16","234","273","46.15","18","22","45.00","18.9","23.15","44.95","176","224","44.00","72","84","46.15","12","8","60.00","19.67","87.88","7.69","91.94","0.996"
"9","Minnesota Wild","5","318.8333","1","4","256","298","46.21","188","219","46.19","139","169","45.13","7","17","29.17","11.72","11.89","49.63","108","116","48.21","43","40","51.81","4","9","30.77","10.81","75.00","5.04","89.94","0.950"
"10","Chicago Blackhawks","23","1509.8667","16","7","1377","1231","52.80","1042","914","53.27","787","676","53.79","64","48","57.14","58.36","55.64","51.19","627","575","52.16","221","205","51.88","36","22","62.07","19.67","86.98","8.13","92.90","1.010"
"11","Detroit Red Wings","14","863.0667","7","7","787","794","49.78","596","610","49.42","417","463","47.39","33","37","47.14","38.21","37.91","50.19","387","409","48.62","159","156","50.48","20","23","46.51","16.39","82.31","7.91","92.01","0.999"
"12","Anaheim Ducks","7","439.4833","3","4","397","442","47.32","303","332","47.72","225","218","50.79","21","18","53.85","19.99","20.16","49.78","217","218","49.89","84","84","50.00","13","11","54.17","18.84","82.54","9.33","91.74","1.011"
"13","San Jose Sharks","11","680.3","7","4","654","655","49.96","494","452","52.22","351","300","53.92","25","22","53.19","35.62","25.29","58.48","326","242","57.39","148","87","62.98","14","9","60.87","12.28","86.15","7.12","92.67","0.998"
"14","Vancouver Canucks","4","258.8167","0","4","258","247","51.09","178","192","48.11","127","146","46.52","8","15","34.78","8.83","15.52","36.28","91","137","39.91","32","63","33.68","2","9","18.18","8.70","82.00","6.30","89.73","0.960"
"15","Los Angeles Kings","18","1134.5833","9","9","986","1015","49.28","718","778","47.99","460","527","46.61","37","34","52.11","40.27","49.12","45.05","414","478","46.41","135","194","41.03","18","20","47.37","18.00","86.01","8.04","93.55","1.016"
"16","St Louis Blues","6","381.4333","2","4","351","314","52.78","278","237","53.98","177","149","54.29","10","12","45.45","17.3","12.78","57.52","169","143","54.17","65","50","56.52","6","6","50.00","13.64","81.82","5.65","91.95","0.976"
