"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Detroit Red Wings","5","313.5333","1","4","279","269","50.91","204","202","50.25","152","161","48.56","6","14","30.00","10.32","12.86","44.53","107","115","48.20","39","43","47.56","4","8","33.33","12.90","77.78","3.95","91.30","0.953"
"2","Boston Bruins","12","759.1333","7","5","741","664","52.74","528","479","52.43","396","349","53.15","30","26","53.57","31.63","25.77","55.10","322","251","56.20","107","99","51.94","14","16","46.67","16.47","78.95","7.58","92.55","1.001"
"3","Montreal Canadiens","17","1070.9667","10","7","956","1042","47.85","706","724","49.37","498","522","48.82","51","46","52.58","45.36","44.54","50.46","417","480","46.49","181","170","51.57","28","21","57.14","21.88","82.79","10.24","91.19","1.014"
"4","Tampa Bay Lightning","4","258.1333","0","4","219","247","47.00","150","193","43.73","104","138","42.98","10","16","38.46","8.62","12.3","41.19","99","120","45.21","36","45","44.44","6","8","42.86","25.00","75.76","9.62","88.41","0.980"
"5","Columbus Blue Jackets","6","383.9833","2","4","354","389","47.64","260","296","46.76","196","219","47.23","18","21","46.15","16.53","16.95","49.37","156","154","50.32","67","47","58.77","12","10","54.55","23.08","76.19","9.18","90.41","0.996"
"6","Pittsburgh Penguins","13","807.0833","7","6","810","709","53.32","598","526","53.20","437","379","53.55","35","33","51.47","36.43","34.77","51.17","366","322","53.20","136","129","51.32","17","20","45.95","15.18","79.17","8.01","91.29","0.993"
"7","Philadelphia Flyers","7","420","3","4","391","432","47.51","265","316","45.61","179","221","44.75","16","19","45.71","17.57","22.84","43.47","188","193","49.34","90","90","50.00","10","13","43.48","19.23","81.43","8.94","91.40","1.003"
"8","New York Rangers","25","1580.0833","13","12","1454","1512","49.02","1060","1093","49.23","733","754","49.29","64","60","51.61","74.21","72.93","50.44","704","729","49.13","289","333","46.46","37","34","52.11","17.54","84.89","8.73","92.04","1.008"
"9","Minnesota Wild","13","810.7667","6","7","762","633","54.62","550","438","55.67","396","312","55.93","35","35","50.00","32.23","25.17","56.15","316","246","56.23","138","86","61.61","17","20","45.95","15.89","70.59","8.84","88.78","0.976"
"10","Colorado Avalanche","7","441.0667","3","4","344","441","43.82","244","323","43.03","174","233","42.75","20","22","47.62","15.03","17.75","45.85","138","168","45.10","53","69","43.44","11","10","52.38","28.21","80.77","11.49","90.56","1.021"
"11","Chicago Blackhawks","19","1242.7","11","8","1049","1174","47.19","721","838","46.25","531","593","47.24","58","55","51.33","44.37","53.17","45.49","467","494","48.60","164","213","43.50","29","29","50.00","21.97","82.32","10.92","90.73","1.016"
"12","St Louis Blues","6","425.15","2","4","429","365","54.03","307","250","55.12","215","186","53.62","14","20","41.18","17.64","15.77","52.80","169","176","48.99","69","55","55.65","7","9","43.75","13.46","78.57","6.51","89.25","0.958"
"13","Dallas Stars","6","362.7833","2","4","388","334","53.74","284","239","54.30","179","167","51.73","18","20","47.37","21.42","18.23","54.02","194","158","55.11","75","81","48.08","10","15","40.00","20.41","75.81","10.06","88.02","0.981"
"14","Anaheim Ducks","13","794.9","7","6","717","836","46.17","529","610","46.44","348","386","47.41","35","37","48.61","38.62","41.57","48.17","367","399","47.91","162","151","51.76","25","23","52.08","20.83","78.50","10.06","90.41","1.005"
"15","Los Angeles Kings","26","1676.05","16","10","1667","1551","51.80","1229","1151","51.64","839","782","51.76","88","70","55.70","80.73","81.05","49.90","733","798","47.88","297","323","47.90","51","40","56.04","23.08","83.12","10.49","91.05","1.015"
"16","San Jose Sharks","7","426.3333","3","4","457","419","52.17","354","311","53.23","248","223","52.65","22","26","45.83","26.22","21.25","55.23","235","175","57.32","99","68","59.28","12","14","46.15","17.14","73.58","8.87","88.34","0.972"
