"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Washington Capitals","6","367.7167","2","4","322","384","45.61","247","286","46.34","182","199","47.77","19","20","48.72","20.08","18.09","52.61","160","183","46.65","82","77","51.57","14","15","48.28","22.58","74.58","10.44","89.95","1.004"
"2","Florida Panthers","10","607.7167","4","6","677","533","55.95","502","414","54.80","353","308","53.40","23","32","41.82","31.85","35.49","47.29","321","273","54.04","124","132","48.44","17","21","44.74","17.71","79.21","6.52","89.61","0.961"
"3","Tampa Bay Lightning","23","1411.4833","14","9","1321","1468","47.36","965","1055","47.77","715","754","48.67","67","61","52.34","73.7","70.44","51.13","690","764","47.46","282","276","50.54","34","23","59.65","16.75","86.71","9.37","91.91","1.013"
"4","Toronto Maple Leafs","7","438.0667","3","4","419","397","51.35","312","284","52.35","216","215","50.12","24","23","51.06","22.74","21.52","51.37","237","221","51.75","95","79","54.60","6","10","37.50","10.53","81.82","11.11","89.30","1.004"
"5","Boston Bruins","7","420","3","4","424","431","49.59","325","312","51.02","227","206","52.42","20","24","45.45","22.05","21.87","50.20","195","212","47.91","71","79","47.33","14","9","60.87","28.00","82.35","8.81","88.35","0.972"
"6","Carolina Hurricanes","14","843.2","7","7","900","790","53.25","649","591","52.34","441","410","51.82","37","40","48.05","48.24","41.51","53.75","461","370","55.48","197","151","56.61","17","21","44.74","13.18","78.79","8.39","90.24","0.986"
"7","Pittsburgh Penguins","7","470.7333","3","4","524","481","52.14","420","364","53.57","310","270","53.45","29","28","50.88","33.47","22.84","59.44","274","222","55.24","143","77","65.00","20","9","68.97","19.23","84.75","9.35","89.63","0.990"
"8","New York Rangers","20","1253.9333","10","10","1168","1379","45.86","862","1047","45.15","626","756","45.30","62","58","51.67","57.02","82.89","40.75","555","737","42.96","214","361","37.22","22","36","37.93","15.60","85.88","9.90","92.33","1.022"
"9","Nashville Predators","4","248.5167","0","4","206","325","38.79","143","232","38.13","112","176","38.89","9","21","30.00","8.54","17.59","32.67","84","163","34.01","39","61","39.00","5","9","35.71","16.67","80.00","8.04","88.07","0.961"
"10","Colorado Avalanche","20","1234.9167","16","4","1441","1065","57.50","1063","756","58.44","781","558","58.33","85","55","60.71","72.62","47.99","60.21","730","465","61.09","269","192","58.35","36","29","55.38","19.78","78.83","10.88","90.14","1.010"
"11","St Louis Blues","12","731.6667","6","6","614","766","44.49","459","586","43.92","346","408","45.89","40","38","51.28","33.33","38.24","46.57","300","365","45.11","102","137","42.68","18","14","56.25","24.00","83.53","11.56","90.69","1.022"
"12","Minnesota Wild","6","360","2","4","355","331","51.75","274","248","52.49","186","188","49.73","16","22","42.11","18.83","19.14","49.59","171","177","49.14","62","55","52.99","5","10","33.33","13.51","75.00","8.60","88.30","0.969"
"13","Dallas Stars","7","435.15","3","4","366","569","39.14","281","424","39.86","195","287","40.46","14","15","48.28","20.25","29.02","41.10","174","258","40.28","69","107","39.20","6","5","54.55","12.24","93.24","7.18","94.77","1.020"
"14","Calgary Flames","12","740.2","5","7","932","646","59.06","696","509","57.76","476","365","56.60","35","39","47.30","46.75","36.79","55.96","430","325","56.95","173","130","57.10","11","19","36.67","9.73","80.21","7.35","89.32","0.967"
"15","Los Angeles Kings","7","421.2","3","4","470","494","48.76","355","354","50.07","261","250","51.08","17","27","38.64","23.51","27.86","45.77","246","254","49.20","93","120","43.66","9","17","34.62","15.25","80.00","6.51","89.20","0.957"
"16","Edmonton Oilers","16","967.5667","8","8","1023","1103","48.12","760","851","47.18","545","622","46.70","65","59","52.42","55.96","57.64","49.26","521","560","48.20","234","215","52.12","37","24","60.66","22.02","82.98","11.93","90.51","1.024"
