"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Montreal Canadiens","19","1153.8333","9","10","1001","1304","43.43","700","900","43.75","507","641","44.16","46","57","44.66","42.78","60.39","41.47","430","611","41.31","152","241","38.68","24","30","44.44","20.87","83.05","9.07","91.11","1.002"
"2","Washington Capitals","7","433.8333","3","4","576","381","60.19","394","272","59.16","292","194","60.08","22","20","52.38","26.21","16.35","61.57","277","180","60.61","109","69","61.24","11","9","55.00","13.25","82.35","7.53","89.69","0.972"
"3","Philadelphia Flyers","23","1422.2","14","9","1224","1352","47.52","872","954","47.75","646","672","49.01","76","61","55.47","60.92","62.04","49.54","592","576","50.68","278","227","55.05","48","35","57.83","22.64","79.29","11.76","90.92","1.027"
"4","New Jersey Devils","5","303.5833","1","4","298","229","56.55","213","173","55.18","135","126","51.72","9","15","37.50","13.69","12.15","52.97","137","111","55.24","55","51","51.89","4","9","30.77","10.81","78.57","6.67","88.10","0.948"
"5","Boston Bruins","13","836.2167","7","6","809","722","52.84","588","526","52.78","414","410","50.24","36","37","49.32","35.21","34.31","50.64","352","341","50.79","136","157","46.42","23","20","53.49","22.12","83.33","8.70","90.98","0.997"
"6","Buffalo Sabres","6","387.6833","2","4","327","413","44.19","250","301","45.37","194","205","48.62","15","16","48.39","15.63","17.31","47.46","147","178","45.23","67","70","48.91","7","9","43.75","13.73","83.33","7.73","92.20","0.999"
"7","Ottawa Senators","6","417.0333","2","4","329","433","43.18","246","304","44.73","173","220","44.02","19","24","44.19","13.41","17.49","43.40","132","191","40.87","55","59","48.25","11","11","50.00","30.56","76.60","10.98","89.09","1.001"
"8","Pittsburgh Penguins","13","837.0333","7","6","905","661","57.79","638","480","57.07","444","346","56.20","42","38","52.50","38.46","26.67","59.05","394","260","60.24","128","93","57.92","19","21","47.50","19.39","66.67","9.46","89.02","0.985"
"9","Colorado Avalanche","6","376.6167","2","4","275","460","37.41","206","332","38.29","149","245","37.82","11","19","36.67","11.15","19.01","36.97","124","202","38.04","52","70","42.62","5","11","31.25","12.50","81.03","7.38","92.24","0.996"
"10","San Jose Sharks","15","936.1333","8","7","1024","841","54.91","747","614","54.89","547","436","55.65","41","41","50.00","46.22","35.06","56.87","462","364","55.93","166","126","56.85","22","17","56.41","16.54","81.91","7.50","90.60","0.981"
"11","Nashville Predators","6","364.1167","2","4","333","331","50.15","239","254","48.48","166","180","47.98","15","17","46.88","16.44","18.62","46.89","155","176","46.83","50","64","43.86","8","11","42.11","20.51","80.00","9.04","90.56","0.996"
"12","Chicago Blackhawks","22","1346.6","16","6","1282","1283","49.98","956","913","51.15","700","652","51.78","78","62","55.71","64.94","61.72","51.27","591","581","50.43","224","230","49.34","45","39","53.57","25.00","79.26","11.14","90.49","1.016"
"13","Los Angeles Kings","6","376.3333","2","4","315","368","46.12","241","282","46.08","166","187","47.03","18","25","41.86","14.02","15.5","47.50","152","161","48.56","64","65","49.61","10","9","52.63","20.83","81.63","10.84","86.63","0.975"
"14","Vancouver Canucks","12","736.3333","6","6","705","649","52.07","523","508","50.73","358","371","49.11","43","41","51.19","32.02","33.4","48.94","315","330","48.84","128","138","48.12","22","27","44.90","21.36","75.23","12.01","88.95","1.010"
"15","Detroit Red Wings","12","727.1167","5","7","753","661","53.25","580","520","52.73","417","387","51.87","43","33","56.58","34.94","33.53","51.03","337","300","52.90","135","118","53.36","22","18","55.00","22.92","79.55","10.31","91.47","1.018"
"16","Phoenix Coyotes","7","420","3","4","366","434","45.75","287","347","45.27","221","257","46.23","18","26","40.91","18.21","20.68","46.82","156","191","44.96","65","86","43.05","10","15","40.00","20.00","75.41","8.14","89.88","0.980"
