"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Montreal Canadiens","12","754.55","6","6","767","672","53.30","560","466","54.58","416","353","54.10","25","29","46.30","30.87","26.08","54.21","299","260","53.49","124","109","53.22","9","15","37.50","9.28","81.93","6.01","91.78","0.978"
"2","Ottawa Senators","6","372.45","2","4","377","401","48.46","267","292","47.76","198","224","46.92","12","12","50.00","14.64","16.57","46.90","147","146","50.17","60","68","46.88","5","6","45.45","11.36","89.09","6.06","94.64","1.007"
"3","Detroit Red Wings","7","422.4167","3","4","319","338","48.55","234","265","46.89","168","200","45.65","15","17","46.88","14.15","17.22","45.12","150","145","50.85","49","60","44.95","8","10","44.44","20.51","80.39","8.93","91.50","1.004"
"4","Tampa Bay Lightning","26","1588.0667","14","12","1326","1402","48.61","966","1019","48.66","731","729","50.07","65","62","51.18","60.7","61.45","49.69","574","618","48.15","237","231","50.64","38","30","55.88","20.88","82.35","8.89","91.50","1.004"
"5","Pittsburgh Penguins","5","314.1","1","4","267","282","48.63","183","207","46.92","132","150","46.81","8","11","42.11","11.84","14.33","45.24","122","124","49.59","59","61","49.17","8","8","50.00","19.05","82.22","6.06","92.67","0.987"
"6","New York Rangers","19","1178.6667","11","8","1130","1072","51.32","808","780","50.88","587","570","50.73","45","41","52.33","55.53","53.52","50.92","547","525","51.03","219","231","48.67","30","28","51.72","19.23","82.61","7.67","92.81","1.005"
"7","New York Islanders","7","431.4","3","4","445","452","49.61","316","308","50.64","199","221","47.38","15","16","48.39","18.42","17.87","50.76","193","207","48.25","76","67","53.15","7","6","53.85","14.58","88.24","7.54","92.76","1.003"
"8","Washington Capitals","14","872.4167","7","7","890","903","49.64","626","639","49.49","444","435","50.51","28","28","50.00","40.2","39.51","50.43","423","434","49.36","159","158","50.16","14","16","46.67","12.96","84.91","6.31","93.56","0.999"
"9","Minnesota Wild","10","600","4","6","503","562","47.23","370","406","47.68","267","272","49.54","24","27","47.06","24.06","23.92","50.15","220","248","47.01","84","90","48.28","11","14","44.00","16.18","77.78","8.99","90.07","0.991"
"10","St Louis Blues","6","360","2","4","350","271","56.36","248","192","56.36","159","136","53.90","14","17","45.16","13.57","13.48","50.17","154","123","55.60","55","40","57.89","9","5","64.29","28.13","85.71","8.81","87.50","0.963"
"11","Nashville Predators","6","428.8167","2","4","385","434","47.01","293","290","50.26","232","208","52.73","21","19","52.50","18.82","16.37","53.49","170","174","49.42","60","61","49.59","13","9","59.09","26.53","80.43","9.05","90.87","0.999"
"12","Chicago Blackhawks","23","1531.3833","16","7","1488","1428","51.03","1026","1067","49.02","723","789","47.82","69","60","53.49","61.25","67.06","47.74","624","614","50.40","223","250","47.15","35","39","47.30","20.11","78.57","9.54","92.40","1.019"
"13","Calgary Flames","11","666.8333","5","6","567","704","44.61","406","481","45.77","278","347","44.48","27","33","45.00","25.31","30.76","45.14","256","327","43.91","103","118","46.61","12","17","41.38","14.63","81.32","9.71","90.49","1.002"
"14","Vancouver Canucks","6","360","2","4","376","301","55.54","243","220","52.48","181","157","53.55","14","18","43.75","15.25","14.65","51.00","169","155","52.16","65","63","50.78","6","9","40.00","11.76","82.35","7.73","88.54","0.963"
"15","Anaheim Ducks","16","1054.6","11","5","1053","995","51.42","803","688","53.86","569","473","54.61","57","42","57.58","53.21","42.01","55.88","490","422","53.73","207","154","57.34","35","22","61.40","22.58","81.03","10.02","91.12","1.011"
"16","Winnipeg Jets","4","245.2","0","4","214","240","47.14","163","192","45.92","118","138","46.09","9","16","36.00","9.7","12.73","43.24","98","114","46.23","37","56","39.78","4","10","28.57","16.67","77.78","7.63","88.41","0.960"
