"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Boston Bruins","7","431.9167","3","4","448","393","53.27","310","291","51.58","200","221","47.51","15","19","44.12","17.84","18.2","49.49","195","186","51.18","61","84","42.07","8","11","42.11","20.00","82.26","7.50","91.40","0.989"
"2","Montreal Canadiens","12","732.7167","5","7","762","725","51.24","552","499","52.52","398","333","54.45","33","35","48.53","35.95","31.1","53.62","349","305","53.36","157","109","59.02","22","19","53.66","19.30","75.00","8.29","89.49","0.978"
"3","Ottawa Senators","4","240","0","4","214","255","45.63","162","209","43.67","112","161","41.03","5","16","23.81","9.83","14.64","40.17","89","139","39.04","33","58","36.26","4","9","30.77","19.05","80.85","4.46","90.06","0.945"
"4","Pittsburgh Penguins","20","1257.1167","14","6","1048","1245","45.70","812","911","47.13","594","612","49.25","61","43","58.65","56.54","57.62","49.53","543","580","48.35","228","216","51.35","35","25","58.33","19.34","83.33","10.27","92.97","1.032"
"5","Philadelphia Flyers","17","1053.5667","9","8","968","1100","46.81","703","777","47.50","509","542","48.43","52","54","49.06","45.78","51.99","46.82","427","503","45.91","153","198","43.59","30","35","46.15","25.64","76.67","10.22","90.04","1.003"
"6","Washington Capitals","7","452.7667","3","4","462","433","51.62","321","331","49.23","218","243","47.29","20","23","46.51","20.95","20.93","50.02","220","202","52.13","74","65","53.24","12","12","50.00","22.22","76.47","9.17","90.53","0.997"
"7","New York Rangers","10","613.1833","5","5","538","512","51.24","414","403","50.67","295","288","50.60","31","27","53.45","31.82","32.01","49.85","296","290","50.51","128","139","47.94","13","15","46.43","13.00","85.98","10.51","90.63","1.011"
"8","New Jersey Devils","5","306.0167","1","4","264","239","52.49","209","203","50.73","144","150","48.98","12","19","38.71","16.56","15.83","51.12","136","135","50.18","73","58","55.73","7","7","50.00","12.73","85.42","8.33","87.33","0.957"
"9","Nashville Predators","6","361.8","2","4","256","396","39.26","196","325","37.62","144","242","37.31","12","17","41.38","11.15","20.03","35.77","111","196","36.16","40","80","33.33","6","6","50.00","18.75","91.18","8.33","92.98","1.013"
"10","Detroit Red Wings","22","1371.75","16","6","1450","946","60.52","1140","729","61.00","803","520","60.70","72","41","63.72","70.05","44.19","61.32","679","421","61.73","257","177","59.22","41","22","65.08","20.50","83.94","8.97","92.12","1.011"
"11","Calgary Flames","7","420","3","4","328","389","45.75","237","311","43.25","162","229","41.43","17","19","47.22","14.44","20.36","41.49","136","177","43.45","61","77","44.20","11","8","57.89","22.45","86.44","10.49","91.70","1.022"
"12","San Jose Sharks","13","859.4","6","7","770","647","54.34","585","466","55.66","415","334","55.41","30","32","48.39","36.94","27.68","57.16","350","276","55.91","150","106","58.59","15","17","46.88","13.27","79.01","7.23","90.42","0.976"
"13","Colorado Avalanche","10","624.3833","4","6","455","616","42.48","372","473","44.02","286","351","44.90","26","33","44.07","24.08","29.55","44.89","247","258","48.91","111","105","51.39","17","19","47.22","17.89","76.83","9.09","90.60","0.997"
"14","Minnesota Wild","6","384.3833","2","4","365","297","55.14","274","241","53.20","200","181","52.49","12","17","41.38","15.43","14.65","51.30","138","162","46.00","51","69","42.50","4","11","26.67","10.53","80.70","6.00","90.61","0.966"
"15","Dallas Stars","18","1159.4","10","8","882","952","48.09","666","725","47.88","489","512","48.85","45","41","52.33","39.5","45.13","46.67","384","448","46.15","148","165","47.28","23","26","46.94","20.72","79.69","9.20","91.99","1.012"
"16","Anaheim Ducks","6","360","2","4","242","307","44.08","190","249","43.28","138","188","42.33","13","20","39.39","12.88","15.82","44.87","127","149","46.01","42","61","40.78","7","13","35.00","21.21","74.00","9.42","89.36","0.988"
